,AccessionYear,Count
0,1870,1
1,1871,60
2,1872,4
3,1873,66
4,1874,5396
5,1875,49
6,1876,27
7,1877,10
8,1878,1
9,1879,1126
10,1880,716
11,1881,1285
12,1882,40
13,1883,1246
14,1884,25
15,1885,194
16,1886,600
17,1887,699
18,1888,159
19,1889,3926
20,1890,1215
21,1891,2434
22,1892,171
23,1893,977
24,1894,342
25,1895,418
26,1896,2788
27,1897,473
28,1898,406
29,1899,369
30,1900,389
31,1901,256
32,1902,1429
33,1903,317
34,1904,1063
35,1905,473
36,1906,1575
37,1907,3457
38,1908,4874
39,1909,4942
40,1910,5648
41,1911,2820
42,1912,1909
43,1913,2690
44,1914,5404
45,1915,1617
46,1916,1340
47,1917,12568
48,1918,2341
49,1919,2190
50,1920,5650
51,1921,3467
52,1922,4534
53,1923,6853
54,1924,4642
55,1925,3932
56,1926,7374
57,1927,3467
58,1928,2869
59,1929,4923
60,1930,5504
61,1931,2062
62,1932,3722
63,1933,4755
64,1934,1601
65,1935,2065
66,1936,9188
67,1937,2534
68,1938,2612
69,1939,2537
70,1940,2557
71,1941,6759
72,1942,3270
73,1943,4463
74,1944,1610
75,1945,1785
76,1946,5013
77,1947,2462
78,1948,5414
79,1949,5450
80,1950,3945
81,1951,6065
82,1952,3208
83,1953,7233
84,1954,3242
85,1955,2572
86,1956,2051
87,1957,4493
88,1958,2976
89,1959,6352
90,1960,3699
91,1961,2750
92,1962,4779
93,1963,41981
94,1964,4287
95,1965,2706
96,1966,3019
97,1967,4258
98,1968,2581
99,1969,2039
100,1970,3784
101,1971,1745
102,1972,2776
103,1973,1677
104,1974,2819
105,1975,5696
106,1976,2394
107,1977,2741
108,1978,4869
109,1979,5118
110,1980,2197
111,1981,3382
112,1982,2607
113,1983,2420
114,1984,3575
115,1985,2909
116,1986,3621
117,1987,3351
118,1988,1628
119,1989,1596
120,1990,1215
121,1991,2730
122,1992,1610
123,1993,1340
124,1994,10597
125,1995,2090
126,1996,1217
127,1997,1268
128,1998,1710
129,1999,3306
130,2000,1542
131,2001,2631
132,2002,2916
133,2003,1377
134,2004,1169
135,2005,5297
136,2006,1744
137,2007,1909
138,2008,1531
139,2009,9385
140,2010,1017
141,2011,18617
142,2012,2983
143,2013,1897
144,2014,2056
145,2015,2699
146,2016,2476
147,2017,2131
148,2018,2955
149,2019,2548
150,2020,1231
151,2021,1683
152,2022,1104
153,2023,373
