,Culture,Count
112,American,28579
1880,French,18435
2741,"Greek, Attic",17309
4086,Japan,16939
1131,China,13504
3639,Italian,6526
4103,Japanese,5990
608,British,5476
5588,Roman,4872
2290,German,4576
1394,Cypriot,2904
1735,European,2669
127,American or European,2052
1369,Coptic,1674
2099,"French, Paris",1622
5965,Spanish,1563
761,"British, London",1408
2674,Greek,1263
1700,Etruscan,1234
3598,Iran,1070
1475,Dutch,920
5732,Sasanian,916
1182,Chinese,905
4566,Mexican,843
2449,"German, Meissen",829
1874,Frankish,753
3911,"Italian, Venice",730
5655,Russian,719
3531,Indonesia (Java),697
3342,Indian,678
4625,Moche,669
4610,Minoan,663
839,"British, Staffordshire",626
279,Asmat people,618
2171,"French, Sèvres",609
4236,Korea,581
7139,probably French,567
308,Austrian,558
1750,European or Middle Eastern,540
1809,Flemish,528
7070,probably American,523
973,Byzantine,494
292,Assyrian,480
1226,"Chinese, for American market",480
3065,India,454
6922,possibly French,414
5317,Paracas,400
6154,Swiss,385
6261,Thailand,382
5883,South Netherlandish,361
3825,"Italian, Naples",354
3913,"Italian, Venice (Murano)",354
371,Babylonian,347
493,Belgian,347
3774,"Italian, Florence",334
3611,Irish,329
5363,Peruvian,322
2345,"German, Augsburg",320
858,"British, Worcester",318
631,British or French,308
707,"British, Chelsea",305
7133,probably European,283
6316,Tibet,281
2831,"Greek, South Italian, Apulian",274
611,British (American market),268
6424,Turkish,262
2787,"Greek, Laconian",261
5603,"Roman, Cypriot",259
342,"Austrian, Vienna",249
4134,Javanese,246
3855,"Italian, Rome",235
377,Bactria-Margiana Archaeological Complex,222
1127,Chimú,217
1039,Catalan,213
732,"British, Etruria, Staffordshire",212
6522,Vicús,209
3525,Indonesia (Central Java),208
3104,India (Gujarat),204
2772,"Greek, Eastern Mediterranean",200
3596,Inuit,198
2495,"German, Nuremberg",195
5358,Peru; north coast (?),193
5276,Pakistan (ancient region of Gandhara),192
6943,possibly German,190
1228,"Chinese, for British market",187
4721,Nasca,184
1574,"East Greek/Sardis, Lydian",180
3519,Indonesia,176
6882,possibly British,176
4049,Italic,172
547,Bohemian,170
3787,"Italian, Genoa",167
8,Achaemenid,167
5228,Old Assyrian Trading Colony,166
6127,Sumerian,165
6975,possibly Italian,165
1648,Edo peoples,164
3059,Inca,163
7089,probably British,162
1499,"Dutch, Delft",159
6713,Yoruba peoples,158
3721,Italian or Spanish,157
5325,Parthian,157
2761,"Greek, Corinthian",154
3811,"Italian, Milan",153
4586,Mezcala,150
1654,Egyptian,149
5346,Persian,146
3706,Italian or French,144
5680,"Russian, St. Petersburg",142
6479,Unknown,141
360,Aymara,138
1833,"Flemish, Brussels",136
6327,Tibetan,135
844,"British, Stoke-on-Trent, Staffordshire",135
2752,"Greek, Boeotian",134
7160,probably German,134
1466,Dogon peoples,134
5913,Southern German,134
1245,"Chinese, for European market",133
2130,"French, Rouen",132
123,American or British,132
5357,Peru; central coast (?),131
4910,Nepal (Kathmandu Valley),130
2523,"German, Saxony",130
2963,Hungarian,128
2848,"Greek, South Italian, Tarentine",126
6578,Wari,126
1558,East Greek,124
5261,Pakistan,123
4262,Kuba peoples,114
2036,"French, Limoges",113
1858,Fon peoples,112
499,"Belgian, Brussels",111
4614,"Minoan, Crete",110
7045,possibly Spanish,110
5954,Southern and Northern Cheyenne,109
297,Assyro-Babylonian,108
998,Cambodia,108
7199,probably Italian,108
1922,French or Italian,107
2050,"French, Lyons",106
43,African,106
364,Aztec,106
1910,French or British,104
6170,"Swiss, Geneva",104
1165,China or Japan,103
2770,"Greek, Cypriot",101
1965,"French, Beauvais",100
1756,"European, Eastern",98
6131,Swedish,97
2721,Greek or Roman,97
6524,Vietnam,97
5447,Portuguese,96
6257,Thai,94
5746,Scottish,93
5734,Sasanian or Islamic,93
4923,Netherlandish,93
5372,Philippine,90
2416,"German, Höchst",90
2501,"German, Nymphenburg",90
5039,North China,90
2358,"German, Berlin",89
653,"British, Birmingham",89
830,"British, Sheffield",88
961,Burmese,88
6481,Unknown fabric,87
4901,Neo-Sumerian,87
701,"British, Buckinghamshire",86
179,"American, Shaker",86
1985,"French, Chantilly",85
6041,"Spanish, Seville",85
2836,"Greek, South Italian, Campanian",85
483,Baule peoples,84
4534,Maya,84
4418,Lydian,84
1129,Chimú or Chancay,83
5144,Northern Italian,82
723,"British, Derby",81
4291,Kwoma,80
4700,Mycenaean,80
2184,"French, Versailles",79
2024,"French, Jouy-en-Josas",79
421,Bamana peoples,77
3040,Ica,77
1384,Crusader,77
5235,Olmec,76
5615,"Roman, Gaul",76
3534,"Indonesia (Java, Lumajang, Pasiran)",76
6368,Toba Batak people,75
5068,North Italian,74
3617,"Irish, Dublin",74
904,"British, probably",74
5781,Senufo peoples,72
1066,Central Asia,72
1152,"China (Xinjiang Autonomous Region, Central Asia)",72
3077,India (Bengal) or Bangladesh,69
1428,Danish,69
6198,Syrian,68
4239,Korean,67
4618,Mitanni,67
5630,"Roman, Syrian",66
3629,Islamic,66
20,Aegean,66
4661,Moroccan,65
2390,"German, Frankenthal",65
2825,"Greek, South Italian",65
5642,Romanian,65
5981,Spanish or Italian,65
1334,Colombia,63
5758,Scythian,63
2657,Ghassulian,63
3758,"Italian, Deruta",62
4444,Malayan,61
4124,"Japanese, for European market",61
1433,"Danish, Copenhagen",60
373,Babylonian or Achaemenid,60
694,"British, Bow, London",60
301,Atlantic Watershed,59
4807,Native American (Northwest Coast),58
6288,Thailand (Si Satchanalai),57
1115,Chancay,57
5405,Philippines,57
1330,Colima,55
1425,Dan peoples,55
5424,Polish,55
1128,Chimú (?),55
4319,Lampung,54
4339,Late Roman,54
264,Armenian,54
1496,"Dutch, Amsterdam",54
92,Albanian or Montenegrin,54
7032,possibly Russian,54
1375,Costa Rican,54
6704,Yinibu people,54
702,"British, Burslem, Staffordshire",54
2078,"French, Nantes",54
1259,"Chinese, for Portuguese market",54
884,"British, after Russian original",53
3026,Iban people,53
3893,"Italian, Urbino",53
1267,"Chinese, for the European Market",53
1841,"Flemish, Mechlin",53
3832,"Italian, Padua",53
3746,"Italian, Burano",53
6904,possibly Dutch,52
3863,"Italian, Sicily",52
2764,"Greek, Cretan",52
5170,Northwest China,52
2139,"French, Saint-Cloud",51
6088,Sri Lankan,50
4705,Nabataean,50
75,Akan peoples,49
635,British or Irish,49
5510,Post-Classical,49
7274,probably Spanish,49
1054,Celtic,49
5701,Salinar (?),49
1242,"Chinese, for Dutch market",48
3019,Iatmul people,48
5044,North French,48
6048,"Spanish, Valencia",48
649,"British, Bedfordshire",48
746,"British, Honiton",48
2331,German or Swiss,48
1802,Fijian,48
4317,Lambayeque (Sicán),48
3427,"Indian, Mughal",47
1391,Cycladic,47
4535,Maya (?),47
1882,French (?),46
4908,Nepal,46
1043,Caucasian,46
6564,Visigothic,45
1673,Elamite,45
5764,Seleucid,45
88,Alanic,45
